v1,v2
ham,jurong point crazi avail bugi great world buffet cine got amor wat 
ham,lar joke wif oni 
spam,free entri wkli comp win cup final tkt may text receiv entri question std txt rate appli 
ham,dun say earli hor alreadi say 
ham,nah think goe usf live around though 
spam,freemsg hey darl week word back like fun still xxx std chg send rcv 
ham,even brother like speak treat like aid patent 
ham,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun 
spam,winner valu network custom select receivea prize reward claim call claim code valid hour 
spam,mobil month entitl updat latest colour mobil camera free call mobil updat free 
ham,gonna home soon want talk stuff anymor tonight cri enough today 
spam,six chanc win cash pound txt csh send cost day day tsandc appli repli info 
spam,urgent week free membership prize jackpot txt word claim lccltd pobox ldnwarw 
ham,search right word thank breather promis wont take help grant fulfil promis wonder bless time 
ham,date sunday 
spam,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclub com qjkgighjjgcbl 
ham,watch 
ham,rememb spell name naughti make wet 
ham,fine way feel way gota 
spam,england macedonia dont miss goal team news txt nation team england tri wale scotland txt poboxoxwwq 
ham,serious spell name 
ham,tri month joke 
ham,pay first lar stock comin 
ham,aft finish lunch str lor ard smth lor finish lunch alreadi 
ham,ffffffffff alright way meet sooner 
ham,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol 
ham,lol alway convinc 
ham,catch fri egg make tea eat mom left dinner feel love 
ham,back amp pack car let know room 
ham,ahhh work vagu rememb feel like lol 
ham,wait still clear sure sarcast want live 
ham,yeah got apologet fallen actin like spoilt child got caught till badli cheer 
ham,tell anyth 
ham,fear faint housework quick cuppa 
spam,thank subscript rington mobil charg month pleas confirm repli repli charg 
ham,yup home look time msg xuhui learn may lesson 
ham,oop let know roommat done 
ham,see letter car 
ham,anyth lor decid 
ham,hello saturday text see decid anyth tomo tri invit anyth 
ham,ahead watt want sure great weekend abiola 
ham,forget tell want need crave love sweet arabian steed mmmmmm yummi 
spam,rodger burn msg tri call repli free nokia mobil free camcord pleas call deliveri tomorrow 
ham,see 
ham,great hope like man well endow inch 
ham,call messag miss call 
ham,get hep immunis nigeria 
ham,fair enough anyth 
ham,yeah hope tyler could mayb ask around bit 
ham,know stubborn even want hospit kept tell mark weak sucker hospit weak sucker 
ham,think first time saw class 
ham,gram usual run like half eighth smarter though get almost whole second gram 
ham,fyi ride earli tomorrow morn crash place tonight 
ham,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass 
spam,sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv 
ham,know mallika sherawat yesterday find url 
